Variable,Year,Value,County2
chlamydia_rate,2016,407,Covington City
chlamydia_rate,2016,696,Danville City
chlamydia_rate,2016,1110,Emporia City
chlamydia_rate,2016,258,Fairfax City
chlamydia_rate,2016,266,Falls Church City
chlamydia_rate,2016,1025,Franklin City
chlamydia_rate,2016,665,Fredericksburg City
chlamydia_rate,2016,391,Galax City
chlamydia_rate,2016,1038,Hampton City
chlamydia_rate,2016,569,Harrisonburg City
chlamydia_rate,2016,1166,Hopewell City
chlamydia_rate,2016,55,Lexington City
chlamydia_rate,2016,668,Lynchburg City
chlamydia_rate,2016,450,Manassas City
chlamydia_rate,2016,363,Manassas Park City
chlamydia_rate,2016,879,Martinsville City
chlamydia_rate,2016,1020,Newport News City
chlamydia_rate,2016,1319,Norfolk City
chlamydia_rate,2016,330,Norton City
chlamydia_rate,2016,1638,Petersburg City
chlamydia_rate,2016,158,Poquoson City
chlamydia_rate,2016,1164,Portsmouth City
chlamydia_rate,2016,1029,Radford City
chlamydia_rate,2016,1358,Richmond City
chlamydia_rate,2016,939,Roanoke City
chlamydia_rate,2016,299,Salem City
chlamydia_rate,2016,340,Staunton City
chlamydia_rate,2016,684,Suffolk City
chlamydia_rate,2016,604,Virginia Beach City
chlamydia_rate,2016,344,Waynesboro City
chlamydia_rate,2016,545,Williamsburg City
chlamydia_rate,2016,491,Winchester City
chlamydia_rate,2016,425,Virginia
chlamydia_rate,2017,648,Accomack County
chlamydia_rate,2017,309,Albemarle County
chlamydia_rate,2017,212,Alleghany County
chlamydia_rate,2017,277,Amelia County
chlamydia_rate,2017,364,Amherst County
chlamydia_rate,2017,459,Appomattox County
chlamydia_rate,2017,431,Arlington County
chlamydia_rate,2017,232,Augusta County
chlamydia_rate,2017,279,Bath County
chlamydia_rate,2017,176,Bedford County
chlamydia_rate,2017,126,Bland County
chlamydia_rate,2017,196,Botetourt County
chlamydia_rate,2017,757,Brunswick County
chlamydia_rate,2017,70,Buchanan County
chlamydia_rate,2017,346,Buckingham County
chlamydia_rate,2017,298,Campbell County
chlamydia_rate,2017,453,Caroline County
chlamydia_rate,2017,172,Carroll County
chlamydia_rate,2017,286,Charles City County
chlamydia_rate,2017,503,Charlotte County
chlamydia_rate,2017,488,Chesterfield County
chlamydia_rate,2017,200,Clarke County
chlamydia_rate,2017,277,Craig County
chlamydia_rate,2017,408,Culpeper County
chlamydia_rate,2017,591,Cumberland County
chlamydia_rate,2017,223,Dickenson County
chlamydia_rate,2017,564,Dinwiddie County
chlamydia_rate,2017,662,Essex County
chlamydia_rate,2017,287,Fairfax County
chlamydia_rate,2017,259,Fauquier County
chlamydia_rate,2017,76,Floyd County
chlamydia_rate,2017,185,Fluvanna County
chlamydia_rate,2017,315,Franklin County
chlamydia_rate,2017,242,Frederick County
chlamydia_rate,2017,273,Giles County
chlamydia_rate,2017,373,Gloucester County
chlamydia_rate,2017,234,Goochland County
chlamydia_rate,2017,236,Grayson County
chlamydia_rate,2017,230,Greene County
chlamydia_rate,2017,497,Greensville County
chlamydia_rate,2017,486,Halifax County
chlamydia_rate,2017,296,Hanover County
chlamydia_rate,2017,566,Henrico County
chlamydia_rate,2017,349,Henry County
chlamydia_rate,2017,,Highland County
chlamydia_rate,2017,397,Isle of Wight County
chlamydia_rate,2017,301,James City County
chlamydia_rate,2017,371,King and Queen County
chlamydia_rate,2017,315,King George County
chlamydia_rate,2017,311,King William County
chlamydia_rate,2017,436,Lancaster County
chlamydia_rate,2017,173,Lee County
chlamydia_rate,2017,239,Loudoun County
chlamydia_rate,2017,243,Louisa County
chlamydia_rate,2017,441,Lunenburg County
chlamydia_rate,2017,384,Madison County
chlamydia_rate,2017,251,Mathews County
chlamydia_rate,2017,469,Mecklenburg County
chlamydia_rate,2017,262,Middlesex County
chlamydia_rate,2017,363,Montgomery County
chlamydia_rate,2017,221,Nelson County
chlamydia_rate,2017,189,New Kent County
chlamydia_rate,2017,878,Northampton County
chlamydia_rate,2017,399,Northumberland County
chlamydia_rate,2017,1082,Nottoway County
chlamydia_rate,2017,272,Orange County
chlamydia_rate,2017,219,Page County
chlamydia_rate,2017,170,Patrick County
chlamydia_rate,2017,281,Pittsylvania County
chlamydia_rate,2017,182,Powhatan County
chlamydia_rate,2017,788,Prince Edward County
chlamydia_rate,2017,891,Prince George County
chlamydia_rate,2017,434,Prince William County
chlamydia_rate,2017,275,Pulaski County
chlamydia_rate,2017,246,Rappahannock County
chlamydia_rate,2017,369,Richmond County
chlamydia_rate,2017,233,Roanoke County
chlamydia_rate,2017,155,Rockbridge County
chlamydia_rate,2017,253,Rockingham County
chlamydia_rate,2017,166,Russell County
chlamydia_rate,2017,215,Scott County
chlamydia_rate,2017,252,Shenandoah County
chlamydia_rate,2017,385,Smyth County
chlamydia_rate,2017,439,Southampton County
chlamydia_rate,2017,371,Spotsylvania County
chlamydia_rate,2017,368,Stafford County
chlamydia_rate,2017,795,Surry County
chlamydia_rate,2017,607,Sussex County
chlamydia_rate,2017,119,Tazewell County
chlamydia_rate,2017,253,Warren County
chlamydia_rate,2017,211,Washington County
chlamydia_rate,2017,411,Westmoreland County
chlamydia_rate,2017,233,Wise County
chlamydia_rate,2017,263,Wythe County
chlamydia_rate,2017,326,York County
chlamydia_rate,2017,463,Alexandria City
chlamydia_rate,2017,459,Bristol City
chlamydia_rate,2017,411,Buena Vista City
chlamydia_rate,2017,564,Charlottesville City
chlamydia_rate,2017,598,Chesapeake City
chlamydia_rate,2017,707,Colonial Heights City
chlamydia_rate,2017,344,Covington City
chlamydia_rate,2017,1004,Danville City
chlamydia_rate,2017,1060,Emporia City
chlamydia_rate,2017,407,Fairfax City
chlamydia_rate,2017,418,Falls Church City
chlamydia_rate,2017,1284,Franklin City
chlamydia_rate,2017,864,Fredericksburg City
chlamydia_rate,2017,468,Galax City
chlamydia_rate,2017,1112,Hampton City
chlamydia_rate,2017,773,Harrisonburg City
chlamydia_rate,2017,1105,Hopewell City
chlamydia_rate,2017,253,Lexington City
chlamydia_rate,2017,774,Lynchburg City
chlamydia_rate,2017,588,Manassas City
chlamydia_rate,2017,506,Manassas Park City
chlamydia_rate,2017,784,Martinsville City
chlamydia_rate,2017,1139,Newport News City
chlamydia_rate,2017,1202,Norfolk City
chlamydia_rate,2017,356,Norton City
chlamydia_rate,2017,1417,Petersburg City
chlamydia_rate,2017,166,Poquoson City
chlamydia_rate,2017,1212,Portsmouth City
chlamydia_rate,2017,1382,Radford City
chlamydia_rate,2017,1292,Richmond City
chlamydia_rate,2017,1125,Roanoke City
chlamydia_rate,2017,259,Salem City
chlamydia_rate,2017,428,Staunton City
chlamydia_rate,2017,741,Suffolk City
chlamydia_rate,2017,635,Virginia Beach City
chlamydia_rate,2017,649,Waynesboro City
chlamydia_rate,2017,619,Williamsburg City
chlamydia_rate,2017,494,Winchester City
chlamydia_rate,2017,473,Virginia
chlamydia_rate,2018,734,Accomack County
chlamydia_rate,2018,341,Albemarle County
chlamydia_rate,2018,218,Alleghany County
chlamydia_rate,2018,422,Amelia County
chlamydia_rate,2018,310,Amherst County
chlamydia_rate,2018,332,Appomattox County
chlamydia_rate,2018,451,Arlington County
chlamydia_rate,2018,270,Augusta County
chlamydia_rate,2018,256,Bath County
chlamydia_rate,2018,204,Bedford County
chlamydia_rate,2018,110,Bland County
chlamydia_rate,2018,151,Botetourt County
chlamydia_rate,2018,887,Brunswick County
chlamydia_rate,2018,79,Buchanan County
chlamydia_rate,2018,334,Buckingham County
chlamydia_rate,2018,320,Campbell County
chlamydia_rate,2018,447,Caroline County
chlamydia_rate,2018,229,Carroll County
chlamydia_rate,2018,500,Charles City County
chlamydia_rate,2018,371,Charlotte County
chlamydia_rate,2018,526,Chesterfield County
chlamydia_rate,2018,124,Clarke County
chlamydia_rate,2018,237,Craig County
chlamydia_rate,2018,380,Culpeper County
chlamydia_rate,2018,642,Cumberland County
chlamydia_rate,2018,149,Dickenson County
chlamydia_rate,2018,511,Dinwiddie County
chlamydia_rate,2018,725,Essex County
chlamydia_rate,2018,275,Fairfax County
chlamydia_rate,2018,230,Fauquier County
chlamydia_rate,2018,70,Floyd County
chlamydia_rate,2018,280,Fluvanna County
chlamydia_rate,2018,248,Franklin County
chlamydia_rate,2018,268,Frederick County
chlamydia_rate,2018,107,Giles County
chlamydia_rate,2018,386,Gloucester County
chlamydia_rate,2018,212,Goochland County
chlamydia_rate,2018,204,Grayson County
chlamydia_rate,2018,301,Greene County
chlamydia_rate,2018,582,Greensville County
chlamydia_rate,2018,480,Halifax County
chlamydia_rate,2018,307,Hanover County
chlamydia_rate,2018,575,Henrico County
chlamydia_rate,2018,330,Henry County
chlamydia_rate,2018,,Highland County
chlamydia_rate,2018,451,Isle of Wight County
chlamydia_rate,2018,336,James City County
chlamydia_rate,2018,271,King and Queen County
chlamydia_rate,2018,403,King George County
chlamydia_rate,2018,305,King William County
chlamydia_rate,2018,603,Lancaster County
chlamydia_rate,2018,143,Lee County
chlamydia_rate,2018,227,Loudoun County
chlamydia_rate,2018,268,Louisa County
chlamydia_rate,2018,368,Lunenburg County
chlamydia_rate,2018,218,Madison County
chlamydia_rate,2018,296,Mathews County
chlamydia_rate,2018,486,Mecklenburg County
chlamydia_rate,2018,309,Middlesex County
chlamydia_rate,2018,370,Montgomery County
chlamydia_rate,2018,274,Nelson County
chlamydia_rate,2018,277,New Kent County
chlamydia_rate,2018,777,Northampton County
chlamydia_rate,2018,440,Northumberland County
chlamydia_rate,2018,1302,Nottoway County
chlamydia_rate,2018,250,Orange County
chlamydia_rate,2018,215,Page County
chlamydia_rate,2018,119,Patrick County
chlamydia_rate,2018,271,Pittsylvania County
chlamydia_rate,2018,262,Powhatan County
chlamydia_rate,2018,700,Prince Edward County
chlamydia_rate,2018,796,Prince George County
chlamydia_rate,2018,486,Prince William County
chlamydia_rate,2018,345,Pulaski County
chlamydia_rate,2018,191,Rappahannock County
chlamydia_rate,2018,571,Richmond County
chlamydia_rate,2018,214,Roanoke County
chlamydia_rate,2018,177,Rockbridge County
chlamydia_rate,2018,268,Rockingham County
chlamydia_rate,2018,211,Russell County
chlamydia_rate,2018,229,Scott County
chlamydia_rate,2018,194,Shenandoah County
chlamydia_rate,2018,473,Smyth County
chlamydia_rate,2018,434,Southampton County
chlamydia_rate,2018,395,Spotsylvania County
chlamydia_rate,2018,425,Stafford County
chlamydia_rate,2018,474,Surry County
chlamydia_rate,2018,563,Sussex County
chlamydia_rate,2018,175,Tazewell County
chlamydia_rate,2018,268,Warren County
chlamydia_rate,2018,167,Washington County
chlamydia_rate,2018,388,Westmoreland County
chlamydia_rate,2018,285,Wise County
chlamydia_rate,2018,298,Wythe County
chlamydia_rate,2018,282,York County
chlamydia_rate,2018,457,Alexandria City
chlamydia_rate,2018,340,Bristol City
chlamydia_rate,2018,190,Buena Vista City
chlamydia_rate,2018,514,Charlottesville City
chlamydia_rate,2018,632,Chesapeake City
chlamydia_rate,2018,460,Colonial Heights City
chlamydia_rate,2018,416,Covington City
chlamydia_rate,2018,715,Danville City
chlamydia_rate,2018,1117,Emporia City
chlamydia_rate,2018,324,Fairfax City
chlamydia_rate,2018,226,Falls Church City
chlamydia_rate,2018,1431,Franklin City
chlamydia_rate,2018,769,Fredericksburg City
chlamydia_rate,2018,347,Galax City
chlamydia_rate,2018,1141,Hampton City
chlamydia_rate,2018,736,Harrisonburg City
chlamydia_rate,2018,1136,Hopewell City
chlamydia_rate,2018,183,Lexington City
chlamydia_rate,2018,712,Lynchburg City
chlamydia_rate,2018,569,Manassas City
chlamydia_rate,2018,506,Manassas Park City
chlamydia_rate,2018,951,Martinsville City
chlamydia_rate,2018,1126,Newport News City
chlamydia_rate,2018,1304,Norfolk City
chlamydia_rate,2018,330,Norton City
chlamydia_rate,2018,1729,Petersburg City
chlamydia_rate,2018,199,Poquoson City
chlamydia_rate,2018,1331,Portsmouth City
chlamydia_rate,2018,1274,Radford City
chlamydia_rate,2018,1308,Richmond City
chlamydia_rate,2018,869,Roanoke City
chlamydia_rate,2018,267,Salem City
chlamydia_rate,2018,481,Staunton City
chlamydia_rate,2018,719,Suffolk City
chlamydia_rate,2018,660,Virginia Beach City
chlamydia_rate,2018,623,Waynesboro City
chlamydia_rate,2018,479,Williamsburg City
chlamydia_rate,2018,498,Winchester City
chlamydia_rate,2018,500,Virginia
chlamydia_rate,2019,718,Accomack County
chlamydia_rate,2019,349,Albemarle County
chlamydia_rate,2019,296,Alleghany County
chlamydia_rate,2019,396,Amelia County
chlamydia_rate,2019,361,Amherst County
chlamydia_rate,2019,465,Appomattox County
chlamydia_rate,2019,485,Arlington County
chlamydia_rate,2019,285,Augusta County
chlamydia_rate,2019,265,Bath County
chlamydia_rate,2019,204,Bedford County
chlamydia_rate,2019,319,Bland County
chlamydia_rate,2019,198,Botetourt County
chlamydia_rate,2019,684,Brunswick County
chlamydia_rate,2019,95,Buchanan County
chlamydia_rate,2019,531,Buckingham County
chlamydia_rate,2019,436,Campbell County
chlamydia_rate,2019,488,Caroline County
chlamydia_rate,2019,248,Carroll County
chlamydia_rate,2019,445,Charles City County
chlamydia_rate,2019,488,Charlotte County
chlamydia_rate,2019,516,Chesterfield County
chlamydia_rate,2019,185,Clarke County
chlamydia_rate,2019,409,Craig County
chlamydia_rate,2019,325,Culpeper County
chlamydia_rate,2019,695,Cumberland County
chlamydia_rate,2019,238,Dickenson County
chlamydia_rate,2019,445,Dinwiddie County
chlamydia_rate,2019,703,Essex County
chlamydia_rate,2019,330,Fairfax County
chlamydia_rate,2019,267,Fauquier County
chlamydia_rate,2019,152,Floyd County
chlamydia_rate,2019,323,Fluvanna County
chlamydia_rate,2019,305,Franklin County
chlamydia_rate,2019,302,Frederick County
chlamydia_rate,2019,162,Giles County
chlamydia_rate,2019,324,Gloucester County
chlamydia_rate,2019,333,Goochland County
chlamydia_rate,2019,283,Grayson County
chlamydia_rate,2019,247,Greene County
chlamydia_rate,2019,573,Greensville County
chlamydia_rate,2019,484,Halifax County
chlamydia_rate,2019,303,Hanover County
chlamydia_rate,2019,694,Henrico County
chlamydia_rate,2019,324,Henry County
chlamydia_rate,2019,,Highland County
chlamydia_rate,2019,482,Isle of Wight County
chlamydia_rate,2019,335,James City County
chlamydia_rate,2019,456,King and Queen County
chlamydia_rate,2019,414,King George County
chlamydia_rate,2019,391,King William County
chlamydia_rate,2019,773,Lancaster County
chlamydia_rate,2019,167,Lee County
chlamydia_rate,2019,252,Loudoun County
chlamydia_rate,2019,319,Louisa County
chlamydia_rate,2019,672,Lunenburg County
chlamydia_rate,2019,181,Madison County
chlamydia_rate,2019,340,Mathews County
chlamydia_rate,2019,634,Mecklenburg County
chlamydia_rate,2019,274,Middlesex County
chlamydia_rate,2019,497,Montgomery County
chlamydia_rate,2019,368,Nelson County
chlamydia_rate,2019,208,New Kent County
chlamydia_rate,2019,675,Northampton County
chlamydia_rate,2019,405,Northumberland County
chlamydia_rate,2019,1333,Nottoway County
chlamydia_rate,2019,305,Orange County
chlamydia_rate,2019,360,Page County
chlamydia_rate,2019,227,Patrick County
chlamydia_rate,2019,432,Pittsylvania County
chlamydia_rate,2019,189,Powhatan County
chlamydia_rate,2019,982,Prince Edward County
chlamydia_rate,2019,615,Prince George County
chlamydia_rate,2019,546,Prince William County
chlamydia_rate,2019,297,Pulaski County
chlamydia_rate,2019,271,Rappahannock County
chlamydia_rate,2019,488,Richmond County
chlamydia_rate,2019,312,Roanoke County
chlamydia_rate,2019,332,Rockbridge County
chlamydia_rate,2019,299,Rockingham County
chlamydia_rate,2019,184,Russell County
chlamydia_rate,2019,209,Scott County
chlamydia_rate,2019,250,Shenandoah County
chlamydia_rate,2019,349,Smyth County
chlamydia_rate,2019,584,Southampton County
chlamydia_rate,2019,432,Spotsylvania County
chlamydia_rate,2019,444,Stafford County
chlamydia_rate,2019,685,Surry County
chlamydia_rate,2019,600,Sussex County
chlamydia_rate,2019,170,Tazewell County
chlamydia_rate,2019,336,Warren County
chlamydia_rate,2019,218,Washington County
chlamydia_rate,2019,505,Westmoreland County
chlamydia_rate,2019,289,Wise County
chlamydia_rate,2019,227,Wythe County
chlamydia_rate,2019,341,York County
chlamydia_rate,2019,532,Alexandria City
chlamydia_rate,2019,495,Bristol City
chlamydia_rate,2019,556,Buena Vista City
chlamydia_rate,2019,681,Charlottesville City
chlamydia_rate,2019,679,Chesapeake City
chlamydia_rate,2019,656,Colonial Heights City
chlamydia_rate,2019,542,Covington City
chlamydia_rate,2019,1176,Danville City
chlamydia_rate,2019,1440,Emporia City
chlamydia_rate,2019,300,Fairfax City
chlamydia_rate,2019,226,Falls Church City
chlamydia_rate,2019,1155,Franklin City
chlamydia_rate,2019,699,Fredericksburg City
chlamydia_rate,2019,378,Galax City
chlamydia_rate,2019,1378,Hampton City
chlamydia_rate,2019,760,Harrisonburg City
chlamydia_rate,2019,1327,Hopewell City
chlamydia_rate,2019,430,Lexington City
chlamydia_rate,2019,723,Lynchburg City
chlamydia_rate,2019,574,Manassas City
chlamydia_rate,2019,544,Manassas Park City
chlamydia_rate,2019,852,Martinsville City
chlamydia_rate,2019,1158,Newport News City
chlamydia_rate,2019,1486,Norfolk City
chlamydia_rate,2019,377,Norton City
chlamydia_rate,2019,1761,Petersburg City
chlamydia_rate,2019,212,Poquoson City
chlamydia_rate,2019,1328,Portsmouth City
chlamydia_rate,2019,1556,Radford City
chlamydia_rate,2019,1399,Richmond City
chlamydia_rate,2019,1149,Roanoke City
chlamydia_rate,2019,427,Salem City
chlamydia_rate,2019,517,Staunton City
chlamydia_rate,2019,911,Suffolk City
chlamydia_rate,2019,700,Virginia Beach City
chlamydia_rate,2019,716,Waynesboro City
chlamydia_rate,2019,488,Williamsburg City
chlamydia_rate,2019,584,Winchester City
chlamydia_rate,2019,507,Virginia
chlamydia_rate,2020,650,Accomack County
chlamydia_rate,2020,311,Albemarle County
chlamydia_rate,2020,202,Alleghany County
chlamydia_rate,2020,259,Amelia County
chlamydia_rate,2020,402,Amherst County
chlamydia_rate,2020,503,Appomattox County
chlamydia_rate,2020,333,Arlington County
chlamydia_rate,2020,266,Augusta County
chlamydia_rate,2020,193,Bath County
chlamydia_rate,2020,248,Bedford County
chlamydia_rate,2020,96,Bland County
chlamydia_rate,2020,227,Botetourt County
chlamydia_rate,2020,733,Brunswick County
chlamydia_rate,2020,91,Buchanan County
chlamydia_rate,2020,367,Buckingham County
chlamydia_rate,2020,423,Campbell County
chlamydia_rate,2020,296,Caroline County
chlamydia_rate,2020,195,Carroll County
chlamydia_rate,2020,474,Charles City County
chlamydia_rate,2020,455,Charlotte County
chlamydia_rate,2020,477,Chesterfield County
chlamydia_rate,2020,144,Clarke County
chlamydia_rate,2020,214,Craig County
chlamydia_rate,2020,283,Culpeper County
chlamydia_rate,2020,433,Cumberland County
chlamydia_rate,2020,126,Dickenson County
chlamydia_rate,2020,459,Dinwiddie County
chlamydia_rate,2020,502,Essex County
chlamydia_rate,2020,257,Fairfax County
chlamydia_rate,2020,256,Fauquier County
chlamydia_rate,2020,248,Floyd County
chlamydia_rate,2020,235,Fluvanna County
chlamydia_rate,2020,275,Franklin County
chlamydia_rate,2020,249,Frederick County
chlamydia_rate,2020,197,Giles County
chlamydia_rate,2020,276,Gloucester County
chlamydia_rate,2020,253,Goochland County
chlamydia_rate,2020,244,Grayson County
chlamydia_rate,2020,353,Greene County
chlamydia_rate,2020,565,Greensville County
chlamydia_rate,2020,472,Halifax County
chlamydia_rate,2020,274,Hanover County
chlamydia_rate,2020,597,Henrico County
chlamydia_rate,2020,354,Henry County
chlamydia_rate,2020,,Highland County
chlamydia_rate,2020,485,Isle of Wight County
chlamydia_rate,2020,289,James City County
chlamydia_rate,2020,327,King and Queen County
chlamydia_rate,2020,309,King George County
chlamydia_rate,2020,292,King William County
chlamydia_rate,2020,604,Lancaster County
chlamydia_rate,2020,90,Lee County
chlamydia_rate,2020,214,Loudoun County
chlamydia_rate,2020,285,Louisa County
chlamydia_rate,2020,336,Lunenburg County
chlamydia_rate,2020,173,Madison County
chlamydia_rate,2020,181,Mathews County
chlamydia_rate,2020,526,Mecklenburg County
chlamydia_rate,2020,340,Middlesex County
chlamydia_rate,2020,377,Montgomery County
chlamydia_rate,2020,308,Nelson County
chlamydia_rate,2020,208,New Kent County
chlamydia_rate,2020,598,Northampton County
chlamydia_rate,2020,422,Northumberland County
chlamydia_rate,2020,637,Nottoway County
chlamydia_rate,2020,238,Orange County
chlamydia_rate,2020,239,Page County
chlamydia_rate,2020,182,Patrick County
chlamydia_rate,2020,318,Pittsylvania County
chlamydia_rate,2020,186,Powhatan County
chlamydia_rate,2020,671,Prince Edward County
chlamydia_rate,2020,540,Prince George County
chlamydia_rate,2020,428,Prince William County
chlamydia_rate,2020,226,Pulaski County
chlamydia_rate,2020,122,Rappahannock County
chlamydia_rate,2020,399,Richmond County
chlamydia_rate,2020,348,Roanoke County
chlamydia_rate,2020,217,Rockbridge County
chlamydia_rate,2020,288,Rockingham County
chlamydia_rate,2020,90,Russell County
chlamydia_rate,2020,204,Scott County
chlamydia_rate,2020,277,Shenandoah County
chlamydia_rate,2020,233,Smyth County
chlamydia_rate,2020,476,Southampton County
chlamydia_rate,2020,366,Spotsylvania County
chlamydia_rate,2020,353,Stafford County
chlamydia_rate,2020,389,Surry County
chlamydia_rate,2020,529,Sussex County
chlamydia_rate,2020,155,Tazewell County
chlamydia_rate,2020,354,Warren County
chlamydia_rate,2020,164,Washington County
chlamydia_rate,2020,439,Westmoreland County
chlamydia_rate,2020,257,Wise County
chlamydia_rate,2020,272,Wythe County
chlamydia_rate,2020,316,York County
chlamydia_rate,2020,426,Alexandria City
chlamydia_rate,2020,340,Bristol City
chlamydia_rate,2020,232,Buena Vista City
chlamydia_rate,2020,423,Charlottesville City
chlamydia_rate,2020,658,Chesapeake City
chlamydia_rate,2020,420,Colonial Heights City
chlamydia_rate,2020,415,Covington City
chlamydia_rate,2020,844,Danville City
chlamydia_rate,2020,1422,Emporia City
chlamydia_rate,2020,217,Fairfax City
chlamydia_rate,2020,171,Falls Church City
chlamydia_rate,2020,904,Franklin City
chlamydia_rate,2020,623,Fredericksburg City
chlamydia_rate,2020,410,Galax City
chlamydia_rate,2020,1146,Hampton City
chlamydia_rate,2020,781,Harrisonburg City
chlamydia_rate,2020,1114,Hopewell City
chlamydia_rate,2020,296,Lexington City
chlamydia_rate,2020,609,Lynchburg City
chlamydia_rate,2020,584,Manassas City
chlamydia_rate,2020,486,Manassas Park City
chlamydia_rate,2020,749,Martinsville City
chlamydia_rate,2020,1104,Newport News City
chlamydia_rate,2020,1272,Norfolk City
chlamydia_rate,2020,276,Norton City
chlamydia_rate,2020,1563,Petersburg City
chlamydia_rate,2020,261,Poquoson City
chlamydia_rate,2020,1391,Portsmouth City
chlamydia_rate,2020,833,Radford City
chlamydia_rate,2020,1132,Richmond City
chlamydia_rate,2020,901,Roanoke City
chlamydia_rate,2020,387,Salem City
chlamydia_rate,2020,441,Staunton City
chlamydia_rate,2020,707,Suffolk City
chlamydia_rate,2020,629,Virginia Beach City
chlamydia_rate,2020,526,Waynesboro City
chlamydia_rate,2020,415,Williamsburg City
chlamydia_rate,2020,484,Winchester City
chlamydia_rate,2020,564,Virginia
dentist_ratio,2016,2196,Accomack County
dentist_ratio,2016,1018,Albemarle County
dentist_ratio,2016,3899,Alleghany County
dentist_ratio,2016,4304,Amelia County
dentist_ratio,2016,5272,Amherst County
dentist_ratio,2016,7738,Appomattox County
dentist_ratio,2016,1534,Arlington County
dentist_ratio,2016,3409,Augusta County
dentist_ratio,2016,4476,Bath County
dentist_ratio,2016,3898,Bedford County
dentist_ratio,2016,1628,Bland County
