"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","oit","ort","hid","hit","ct","gh","psyh","vamc","tbg","ih","stg","lccg","ddf","stag","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","sf","md","mc","si","pi","mi","fsa","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","ad","pw","wn","mn","hv","trma","xa","dv","tay","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","moti","ang","mxm","crv","relp","bc","chld","yad","adlt","fem","male","du","duo","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eih","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssa","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mpep","fed","sotp","dea","samf","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","fx","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Horizon Behavioral Health","Bedford Wellness Center","1409 Ole Dominion Boulevard","","Bedford","VA","24523","","Bedford City","540-586-5429","","434-477-5000","","http://www.horizonbh.org","37.3366157","-79.4958292","SU","1","","","","","","","","","","","","1","","","","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","1","","1","1","","","","1","","","","","1","1","1","","1","1","1","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","","1","1","1","1","1","1","1","1","","","","","1","1","","","1","","1","1","","1","1","1","1","","","","","","1","1","1","","1","","1","","1","1","","","","1","1","1","","1","","1","1","1","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","1","","1","1","","","","","","","","1","","","","","1","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mid Atlantic Recovery Center","","15 Pratts Run","","Waynesboro","VA","22980","","Waynesboro City","540-255-2038","","","","http://","38.08363","-78.9336417","SU","1","","1","","1","","","1","","","1","","","","","","","1","","","1","1","","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","","","","1","1","","","","1","1","1","","1","","1","","","1","","","1","","1","1","","","1","1","1","1","1","","","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","1","1","","1","1","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Augusta Health","","79 North Medical Park Drive","","Fishersville","VA","22939","","Augusta","540-213-2525","","","","http://www.augustahealth.com","38.0908147","-78.9934153","SU","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","1","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockbridge Area Community Servs Board","","241 Greenhouse Road","","Lexington","VA","24450","3717","Lexington City","540-463-3141","","","855-222-2046","http://www.racsb.org","37.803843","-79.426826","SU","1","","","","1","","","1","1","","","","","","","","","","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","","1","1","1","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","1","","1","","1","","1","","1","","","1","1","","","1","1","","1","","1","1","1","1","1","","","","","","","1","","1","1","1","","1","1","","","","","1","1","","1","","","1","","","1","","1","","1","","","","1","1","","","","","","","1","1","","","","","","","","","1","","1","","","","","","","","","1","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Southside Behavioral Health","Halifax County","424 Hamilton Boulevard","","South Boston","VA","24592","","Halifax","434-572-2936","","","","http://www.southsidebh.org","36.7136001","-78.915837","SU","1","","","","","","","1","","","","","","","","","","","1","","","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","","","1","","","1","1","1","","1","","","","","","","","","","","1","1","1","1","","1","","1","1","1","","1","","","","","1","1","","","1","","","1","","1","1","1","1","","","","1","","1","","1","","1","1","1","","1","1","1","","","","","1","","1","","1","1","1","","","","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","1","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Valley Community Services Board","","85 Sangers Lane","","Staunton","VA","24401","","Staunton City","540-887-3200","","","","http://www.myvalleycsb.org","38.127284","-79.0298084","SU","1","","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","1","","","","","1","","","","","1","","1","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","","1","","1","","","","","1","","1","","1","1","","","","","","","","","","","","","1","1","1","","1","","1","1","1","","1","1","","1","","","1","1","","","1","","1","1","","1","1","1","1","","","","","1","1","1","1","","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1","1","","","1","","1","","1","1","","","","1","","","","","","","1","1","","","","","","","1","","","1","1","","","","","","","","","1","","","","","1","","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Southside Behavioral Health","Mecklenburg County","523 Madison Street","","Boydton","VA","23917","","Mecklenburg","434-738-0154","","","","http://www.southsidebh.org","36.6674262","-78.387471","SU","1","","","","","","","","","","","","1","","","","","","1","","","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","","","1","","","1","1","1","","1","","","","","","","","","","","1","1","1","1","","1","","1","1","","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","","","1","","1","","1","","1","1","1","","1","1","1","","","","","1","","1","","1","1","1","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHG Staunton Treatment Center","Staunton Treatment Center LLC","15 Green Hills Drive","Suites 6 and 7","Staunton","VA","24401","","Staunton City","540-217-6366","","","540-217-6366 x119","http://www.bhgrecovery.com/locations/staunton","38.1906545","-79.0250017","SU","1","1","1","1","1","1","","1","","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","1","1","","1","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","1","","1","1","","","1","1","1","1","1","1","","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","1","1","1","1","1","1","","","1","1","1","","1","1","","","1","1","1","","1","","","1","1","","","1","1","1","1","","","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","1","1","1","","","","","","","","1","1","","","1","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Family Counseling Center for Recovery","Southlake","905 Southlake Boulevard","Suite C","Richmond","VA","23236","","Chesterfield","804-419-0492","","","804-354-1996","http://pinnacletreatment.com/treatment-therapies/outpatient/","37.5054726","-77.5973449","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","1","","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","1","","","1","1","1","1","","1","1","1","","","1","1","1","1","1","1","1","","","","1","1","1","","","1","1","","1","","","1","","1","","","","1","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","1","1","","1","1","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Richmond IOP PLC","Recovery Resources","10049 Midlothian Turnpike","Suite B-2","Richmond","VA","23235","","Chesterfield","804-320-8032","","","","http://www.richmondiop.org","37.5058384","-77.5828837","SU","1","","","","","","","","","","","","","","","","","","1","","","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","","1","1","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","1","1","1","","1","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","","","","1","","1","","1","1","1","1","1","","","","","1","","","","1","1","1","","","","","","","","","1","","","","","","","","1","","","","1","","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"River City","Integrate Counseling Services","2604 North Parham Road","","Henrico","VA","23294","","Henrico","804-681-2525","","804-230-0999","","http://www.rivercityccs.com","37.6253871","-77.5525827","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","1","","","1","","","","","","1","1","","1","1","1","","","","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","","","","","1","1","1","","1","","","1","","1","1","1","1","","1","","1","1","1","","1","","1","1","1","","1","1","1","","","1","","1","","1","","1","1","1","","1","","","","","","","1","","1","","","1","","","1","","","1","","","","","","","1","1","","1","1","1","1","","1","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Chippenham Medical Center","Tucker Pavilion","7101 Jahnke Road","","Richmond","VA","23225","","Richmond City","804-483-0050","","","","http://cjwmedicalcenter.com","37.513886","-77.5263617","SU","1","1","","","","","","","","","","","","","1","","","","1","","1","1","1","1","","","1","","1","","","","","","1","1","","1","1","","","1","","","","","","","","1","1","1","","","","","","","1","1","1","1","1","1","","","","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","","","","","1","1","","1","1","","","","","1","","","1","1","","","1","","","","","1","1","1","1","","","","","","","","","","1","1","","","1","1","","","","","","1","","","","","1","","","","","","","","","","1","","1","","","","","1","","","","","","","","","","","1","","","1","1","","1","1","","","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominion Care","","2601 Willard Road","Suite 105","Henrico","VA","23294","","Henrico","804-272-2000","","","","http://","37.6135004","-77.5254634","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","1","","","","","1","1","","","1","","","","","","","1","","","","","","","1","","","","","1","","","","","","","","","","","1","1","","","","1","","1","1","1","","1","","","","","1","1","1","","1","","","","","1","1","1","1","","","","","","","","","","1","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","1","","","1","","","","1","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chesterfield Community Services Board","Mental Health Support Services","6801 Lucy Corr Boulevard","Rogers Building","Chesterfield","VA","23832","","Chesterfield","804-748-1227","","804-768-7318","","http://www.chesterfield.gov","37.3823412","-77.5059885","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","1","","","1","","","","1","","","","","1","1","1","1","1","","1","1","1","1","1","1","","","","","","","1","","1","1","","1","","","","1","","","","","","1","1","1","1","","","1","1","1","","","","1","","","","","1","1","","","1","1","","1","1","1","1","1","1","1","1","","1","","1","","","","1","1","1","1","1","1","1","","1","1","1","1","","1","","1","1","","","1","","1","1","1","1","","","","1","","1","1","","","1","1","","1","1","","","","","1","","","","1","1","1","","","","","","","1","","","","","1","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"BHG Glen Allen Treatment Center","BHG XLII LLC","13100 Mountain Road","","Glen Allen","VA","23059","","Henrico","804-510-0556","","844-535-7291","","http://www.bhgrecovery.com","37.6910156","-77.5453413","SU","1","","","","1","","","1","","","","","","","","","","","","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","","","1","","1","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","1","","1","1","1","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","","","","","1","1","1","1","1","1","","1","1","1","1","","1","","1","","1","","1","","1","1","","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","1","","","","","","","","","","1","1","","1","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Dinwiddie Counseling Services","","13900 Courthouse Road","Suite C","Dinwiddie","VA","23841","","Dinwiddie","804-469-3746","","804-862-8008","","http://www.d19csb.com","37.080477","-77.585315","SU","1","","","","","","","","","","","","","","","1","","","1","","","1","1","","","1","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","1","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","1","","","","1","","","","","1","1","","","1","","","1","","1","1","1","1","","","","","","","","1","","1","1","1","","1","1","","","1","","","1","","","","","1","","","","","","","","","","","","1","","","1","","","1","","","1","1","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Henrico Area Mental Health and","Developmental Services","2010 Bremo Road","","Henrico","VA","23228","","Henrico","804-727-8967","","804-727-8515","","http://henrico.us/mhds/","37.5910299","-77.5081818","SU","1","1","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","1","1","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","","1","","1","1","","1","","","","","1","","","1","1","1","","1","","","","1","1","","","","1","","1","1","1","","1","1","","1","","","","1","","","1","1","1","1","","","","","","1","","1","1","1","1","","1","","1","1","1","","1","","1","","1","","1","1","1","","1","1","","1","","1","1","1","1","1","","1","","1","1","1","1","1","","","1","","","","","","","1","","1","1","","","","","","","","","1","","","","1","1","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Richmond Private Methadone Clinic","(RPMC)","4926 West Broad Street","","Richmond","VA","23230","","Henrico","804-673-5241","","","800-440-6310","http://www.methadonetreatmentcenters.com","37.584454","-77.496058","SU","1","1","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","1","1","","","1","","","","","1","1","","","","","1","","","","","1","1","1","","","1","1","","1","1","1","","1","1","1","1","","","","","","1","","1","1","1","","1","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","1","","1","1","1","1","1","","","1","1","1","1","1","1","1","","1","1","1","","1","","1","1","1","","","1","1","","","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","","1","","","","","","","","1","1","","","1","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Family Counseling Center for Recovery","Pinnacle Treatment","4906 Radford Avenue","","Richmond","VA","23230","","Henrico","804-354-1996","","","","http://pinnacletreatment.com","37.5809595","-77.4950893","SU","1","","1","","1","","","1","1","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","1","","","","1","","","","","1","1","1","","1","","1","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","","1","1","1","1","1","1","1","1","","1","","","1","1","","","1","","1","1","","","1","1","1","","1","","1","1","1","","","","1","1","1","1","1","1","1","","1","1","1","1","","1","","1","1","1","","1","1","1","1","1","1","1","1","","1","","","","","","1","1","","1","1","","","","","","","1","1","1","1","1","1","","","","","","1","","","1","1","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Southside Behavioral Health","Brunswick County","2087 Lawrenceville Plank Road","","Lawrenceville","VA","23868","","Brunswick","434-848-4121","","","","http://www.southsidebh.org","36.7665465","-77.8305805","SU","1","","","","","","","","","","","","1","","","","","","1","","","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","","","1","","","1","1","1","","1","","","","","","","","","","","1","1","1","1","","1","","1","1","","","1","","","","","1","1","","","1","","","1","","1","1","1","1","","","","1","","1","","1","","1","1","1","","1","1","1","","","","","1","","1","","1","1","1","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominion Outpatient Services","","1640 East Tam Road","Suite 201","Henrico","VA","23228","","Henrico","804-272-2000 x5","","","","http://www.DominionYouthServices.com","37.6164453","-77.4816693","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","","1","","","1","","","","","","","1","1","","","","","","","","","","","","1","1","","","","","","","","","1","1","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","1","1","","1","1","1","1","1","","1","","","","","1","1","1","","1","","","","","1","1","1","1","","","","","","","","","","1","1","1","","1","1","1","","","","","1","","","","","1","","","","","","","","","","1","","1","","","1","","","1","","","","1","","","","","1","","","","","1","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
